科 |か |[1] department; section; faculty; school; arm [2] course (of study); branch of study; specialization [3] (taxonomical) family |N/A
箇 |か |counter used with Sino-Japanese words |N/A
下位 |かい |low rank; lower position; subordinate position; lower order (e.g. byte) |N/A
階 |かい |[1] storey; story; floor [2] stairs [3] stage (in chronostratigraphy) |N/A
改悪 |かいあく |changing (something) for the worse; disimprovement; deterioration |N/A
海運 |かいうん |[1] maritime transport; shipping [2] Kaiun |N/A
改革 |かいかく |reform; reformation; reorganization |2604
貝殻 |かいがら |seashell; shell |N/A
階級 |かいきゅう |[1] (social) class [2] rank; grade |N/A
海峡 |かいきょう |channel (e.g. between two land masses); strait |N/A
会見 |かいけん |interview; audience; meeting; (viewing) party |N/A
介護 |かいご |nursing; care; caregiving; caring |2342
開催 |かいさい |holding (a conference, exhibition, etc.); opening; hosting (e.g. the Olympics) |1141
改修 |かいしゅう |repair; improvement |N/A
回収 |かいしゅう |collection; recovery; withdrawal; retrieval |3473
解除 |かいじょ |[1] termination (of a contract); cancellation; rescinding; rescission [2] lifting (of a ban, sanctions, etc.); removal; release (from obligations); cancellation (of a warning, alert, etc.); calling off (e.g. a strike); releasing (a lock) |4979
回送 |かいそう |[1] forwarding; sending on; redirecting (e.g. mail) [2] deadheading (e.g. train); (train) returning to the station |N/A
階層 |かいそう |class; level; stratum; layer; hierarchy |N/A
開拓 |かいたく |[1] reclamation (e.g. of wasteland); cultivation; development [2] pioneering; opening up (e.g. of a new market); breaking new ground; trailblazing [3] Kaitaku |N/A
会談 |かいだん |talks (i.e. formal discussions); conference; meeting |N/A
改定 |かいてい |revision (of a rule, price, etc.); alteration; change |N/A
改訂 |かいてい |revision (of text); alteration; change |N/A
介入 |かいにゅう |intervention |N/A
開発 |かいはつ |development; exploitation (of resources) |831
海抜 |かいばつ |height above sea level |N/A
介抱 |かいほう |nursing; looking after |N/A
解剖 |かいぼう |[1] dissection; autopsy; postmortem examination [2] analysis; postmortem |N/A
回覧 |かいらん |circulation (esp. documents); sending round |N/A
海流 |かいりゅう |ocean current |N/A
改良 |かいりょう |improvement; reform |4289
回路 |かいろ |[1] circuit (electric) [2] cycle (e.g. Krebs cycle) |N/A
海路 |かいろ |sea route |N/A
顧みる |かえりみる |[1] to look back on (the past); to reflect on; to reminisce about [2] to look behind (at); to turn round (and look); to look over one's shoulder [3] to consider; to concern oneself about; to take notice of; to pay attention to; to take into consideration |N/A
顔つき |かおつき |(outward) looks; features; face; countenance; expression |N/A
掲げる |かかげる |[1] to put up (a notice, sign, etc.); to hang out (e.g. a banner); to fly (e.g. a flag); to hoist; to raise; to display [2] to hold up high; to raise overhead [3] to tout (a principle, plan, etc.); to herald; to hold up (an ideal); to parade (e.g. a slogan) |1414
踵 |かかと |heel (of foot, shoe, stocking, etc.) |N/A
課外 |かがい |extracurricular |N/A
