他意 |たい |other intention; hidden purpose; ulterior motive; ill will; malice |N/A
対応 |たいおう |[1] correspondence (to); equivalence [2] suitability; coordination; matching; being appropriate (for) [3] dealing with; coping with; handling; response; reception; reaction |572
体格 |たいかく |build; physique; frame; constitution |N/A
大概 |たいがい |[1] generally; mainly; usually; normally; mostly; for the most part [2] nearly all; almost all; most [3] gist; summary; outline; main idea |4922
退学 |たいがく |[1] dropping out of school; withdrawal from school [2] expulsion from school; dismissal [3] leaving school (university, etc.) after completing a course |N/A
大金 |たいきん |large amount of money; great cost |N/A
待遇 |たいぐう |[1] treatment; reception; service [2] working conditions; salary; pay; remuneration |N/A
体験 |たいけん |(practical) experience; personal experience; hands-on experience; first-hand experience |889
対抗 |たいこう |opposition; rivalry; competition; antagonism |4598
対して |たいして |for; in regard to; per |N/A
大衆 |たいしゅう |general public; the masses |N/A
対処 |たいしょ |dealing with; coping with |2305
退職 |たいしょく |retirement; resignation |3159
退治 |たいじ |[1] extermination; elimination; eradication; destruction; suppression; subjugation; getting rid of; stamping out; wiping out; rooting out [2] renouncing worldly desires (in order to concentrate on Buddhist teachings) [3] curing (an illness) |N/A
態勢 |たいせい |attitude; posture; preparedness; readiness |N/A
対談 |たいだん |talk; dialogue; conversation |N/A
|タイトル |title |335
滞納 |たいのう |falling behind (with a payment); being in arrears; non-payment; default; delinquency |N/A
対比 |たいひ |contrast; comparison |N/A
|タイピスト |typist |N/A
大部 |たいぶ |[1] lengthy (of a book, etc.); voluminous [2] most (e.g. most part); greater; fairly; a good deal; much |N/A
対辺 |たいへん |opposite side |N/A
待望 |たいぼう |[1] waiting expectantly; waiting eagerly; looking forward to [2] long-awaited |N/A
怠慢 |たいまん |negligence; neglect; carelessness; procrastination |N/A
|タイマー |[1] timer; time switch [2] stopwatch [3] time keeper |N/A
|タイミング |timing |3152
|タイム |[1] time (for, to do) [2] time (to finish a race, lap, etc.) [3] time-out |N/A
|タイムリー |[1] timely; well-timed [2] clutch hit; run-scoring hit; RBI hit |N/A
対面 |たいめん |[1] meeting face-to-face; seeing in person [2] facing (each other); opposing (traffic, etc.); confronting |N/A
|タイヤ |tire; tyre |4649
体力 |たいりょく |[1] physical strength; power; stamina; endurance; vigor; resistance to disease [2] strength (of a business, economy, etc.) |1860
|タイル |tile |N/A
対話 |たいわ |dialogue; conversation; talk; discussion; communication |4384
絶える |たえる |[1] to die out; to peter out; to become extinct [2] to cease; to be stopped; to be discontinued; to be cut off |2533
高 |たか |quantity; amount; volume; number; amount of money |N/A
高まる |たかまる |to rise; to swell; to be promoted |1955
焚き火 |たきび |[1] open-air fire (e.g. for garden refuse); bonfire [2] open fire (e.g. in a kitchen) |N/A
逞しい |たくましい |[1] burly; strong; sturdy [2] indomitable; indefatigable; strong-willed; resolute; bold [3] robust (vitality, appetite, economic growth, etc.); strong |N/A
巧み |たくみ |[1] skillful; adroit; dexterous; masterful; clever; ingenious; cunning [2] craft; craftsmanship; skill; dexterity; design [3] plot; scheme; artifice; trick |N/A
類い |たぐい |[1] kind; sort; type [2] equal; match; peer |4759
丈 |たけ |[1] height; stature [2] length (esp. of clothing) [3] all (one has); everything |N/A
多数決 |たすうけつ |majority decision; majority vote; majority rule |N/A
助け |たすけ |assistance; help; aid; support; reinforcement |3712
携わる |たずさわる |to engage in; to participate in; to take part in; to be involved in |3167
漂う |ただよう |[1] to drift; to float [2] to waft (e.g. a scent); to hang in the air [3] to be in the air (e.g. a feeling or mood) |2844
立方 |たちかた |[1] way of standing [2] dancer (in a Japanese dance performance) |N/A
立ち寄る |たちよる |to drop in (at); to drop by; to call at; to stop by; to stop off; to stop in |N/A
達者 |たっしゃ |[1] in good health; healthy; well; fit; robust; strong [2] skilled; proficient; adept [3] master; expert |N/A
達成 |たっせい |achievement; attainment; accomplishment; realization |2359
断つ |たつ |[1] to sever; to cut off [2] to suppress; to eradicate; to exterminate [3] to abstain (from); to give up |N/A
建前 |たてまえ |[1] face; official stance; public position or attitude (as opposed to private thoughts) [2] ceremony for the erection of the framework of a house |N/A
奉る |たてまつる |[1] to offer; to present [2] to set someone up in a high position; to revere at a distance [3] to do respectfully |N/A
仮令 |たとえ |even if; no matter (what); if; though; although; supposing; supposing that; -ever |N/A
他動詞 |たどうし |transitive verb |N/A
たどり着く |たどりつく |to (finally) arrive at; to reach (at last); to (manage to) get to; to find one's way to |3133
辿る |たどる |[1] to follow (a road, path, etc.); to trace [2] to follow (a clue, scent, tracks, plot, etc.); to trace (a route, history, family tree, etc.); to retrace (e.g. one's memory); to search; to go over [3] to head towards (of a situation); to go in the direction of; to take (a course); to pursue (a path); to meet (a fate) |2852
頼み |たのみ |[1] request; favor; favour [2] reliance; dependence; trust; hope |N/A
他方 |たほう |[1] one (esp. of two); the other; one way; the other way; one direction; the other direction; one side; the other side; one party; the other party [2] on the other hand |3455
給う |たまう |[1] to give [2] to do ... |N/A
溜まり |たまり |[1] pile; pool; collection [2] gathering spot [3] waiting place for a wrestler beside the ring |N/A
賜る |たまわる |[1] to be given; to be granted; to be honored with; to be honoured with [2] to give; to bestow; to confer; to honor; to honour |N/A
例 |ためし |precedent; example |N/A
保つ |たもつ |[1] to keep; to preserve; to hold; to retain; to maintain; to sustain [2] to last; to endure; to keep well (food); to wear well; to be durable |1752
容易い |たやすい |easy; simple; light |N/A
多様 |たよう |diverse; varied |3014
