剥ぐ |はぐ |[1] to tear off; to peel off; to rip off; to strip off; to skin; to flay; to bark [2] to strip of (clothes, rank, etc.); to deprive of; to divest of |N/A
派遣 |はけん |[1] dispatch; despatch; deployment [2] temporary employee (esp. from an agency); temporary worker; agency temp |2089
励ます |はげます |[1] to encourage; to cheer on; to cheer (someone) up [2] to raise (one's voice) |3695
励む |はげむ |to work hard; to try hard; to strive; to endeavour; to endeavor; to devote oneself to; to make an effort; to be zealous |4273
剥げる |はげる |[1] to peel off; to come off; to flake off; to be worn off [2] to fade; to discolor; to discolour |N/A
柱 |はしら |[1] pillar; post [2] support; prop; mainstay [3] counter for buddhas, gods, nobles, etc. |2647
橋渡し |はしわたし |[1] mediation; good offices; go-between; intermediary; mediator; bridge (between) [2] building a bridge |N/A
恥 |はじ |shame; embarrassment; disgrace |N/A
弾く |はじく |[1] to flip; to snap; to flick [2] to repel [3] to use (an abacus); to calculate |N/A
恥じらう |はじらう |to feel shy; to be bashful; to blush |N/A
恥じる |はじる |to feel ashamed |N/A
蓮 |はす |[1] sacred lotus (Nelumbo nucifera); Indian lotus; lotus [2] rose of Sharon (Hibiscus syriacus) |N/A
弾む |はずむ |[1] to spring; to bound; to bounce [2] to be stimulated; to be encouraged; to get lively [3] to pay handsomely; to splurge; to part eagerly with (money, etc.) |N/A
機 |はた |loom |N/A
果たす |はたす |[1] to accomplish; to achieve; to carry out; to fulfill; to fulfil; to realize; to execute; to perform; to do [2] to do ... completely; to do ... entirely |1286
裸足 |はだし |[1] barefoot [2] superior to (e.g. a professional); outdoing; outshining |N/A
蜂蜜 |はちみつ |honey |3824
発生 |はっせい |[1] occurrence; incidence; outbreak; birth (e.g. of civilization) [2] generation (of power, heat, etc.); production [3] ontogeny; development; growth; breeding |793
初 |はつ |first; new |4459
発育 |はついく |(physical) growth; development |N/A
発芽 |はつが |germination; sprouting; budding |N/A
発言 |はつげん |statement; remark; observation; utterance; speech; proposal |1947
発病 |はつびょう |onset of an illness; falling ill |N/A
初耳 |はつみみ |something heard for the first time; hearing something for the first time |N/A
果て |はて |[1] end; extremity; limit [2] result; outcome; upshot; consequence |4551
果てる |はてる |[1] to end; to be finished; to be exhausted [2] to die; to perish [3] to do utterly; to do completely |N/A
華々しい |はなばなしい |brilliant; splendid; glorious; magnificent; spectacular |N/A
花びら |はなびら |petal |N/A
華やか |はなやか |[1] bright and beautiful; gorgeous; showy; brilliant; splendid; gay; colorful; flowery [2] prosperous; flourishing; thriving |3855
阻む |はばむ |to keep someone from doing; to stop; to prevent; to check; to hinder; to obstruct; to oppose; to thwart |N/A
浜 |はま |[1] beach; seashore [2] captured pieces; captured stones [3] Yokohama |N/A
浜辺 |はまべ |beach; foreshore |N/A
嵌まる |はまる |[1] to fit; to get into; to go into; to be fitted with (e.g. door with a window) [2] to be fit for (a job, etc.); to be suited for; to satisfy (conditions) [3] to fall into; to plunge into; to get stuck; to get caught |1904
早める |はやめる |[1] to bring forward (e.g. by 3 hours); to advance; to hasten (e.g. one's death); to expedite; to precipitate [2] to quicken (e.g. one's step); to speed up; to accelerate |N/A
腹立ち |はらだち |anger |N/A
原っぱ |はらっぱ |open field; empty lot; plain |N/A
張り紙 |はりがみ |[1] paper patch attached to something; paper backing; sticker; label [2] notice; poster |N/A
遥か |はるか |[1] far away; far off; far; distant; in the distance [2] long ago; long before |1856
腫れる |はれる |to swell (from inflammation); to become swollen |N/A
判 |はん |[1] seal; stamp; monogram signature [2] judgment; judgement [3] size (of paper or books) |N/A
班 |はん |[1] group; party; team [2] squad; section |N/A
繁栄 |はんえい |prosperity; thriving; flourishing |4545
反感 |はんかん |antipathy; antagonism; animosity; revulsion; ill feeling |N/A
版画 |はんが |woodcut; woodblock print; art print |N/A
|ハンガー |(coat) hanger |N/A
反響 |はんきょう |[1] echo; reverberation [2] response; reaction; repercussions; sensation; influence |N/A
判決 |はんけつ |judicial decision; judgement; judgment; sentence; decree |3792
反撃 |はんげき |counterattack; counteroffensive; counterblow |N/A
反射 |はんしゃ |[1] reflection; reverberation [2] reflex; reflexes |N/A
繁盛 |はんじょう |prosperity; flourishing; thriving |N/A
反する |はんする |[1] to be contrary (to); to go against; to run counter (to); to contradict; to be opposite (to) [2] to infringe; to violate; to transgress [3] to disobey (an order, teachings, etc.); to defy; to rebel; to revolt |3508
判定 |はんてい |judgement; judgment; decision; ruling; finding; adjudication; verdict; call |4380
反応 |はんのう |reaction; response |1404
半端 |はんぱ |[1] remnant; fragment; incomplete set; incompleteness [2] fraction; odd sum [3] halfway; half-hearted; perfunctory |N/A
反発 |はんぱつ |[1] opposition; rebellion; revolt; resistance; backlash; refusal [2] rebounding; recoiling; repulsion [3] rally (e.g. in stock prices); recovery |4169
反乱 |はんらん |insurrection; mutiny; rebellion; revolt; uprising |N/A
氾濫 |はんらん |[1] overflowing; flood; inundation; deluge [2] oversupply; plethora; abundance (esp. of something undesirable) |N/A
ばい菌 |ばいきん |[1] germ; germs; bacteria; bug [2] something dirty or harmful; vermin |N/A
賠償 |ばいしょう |compensation; reparations; indemnity; damages |N/A
倍率 |ばいりつ |[1] magnification; leverage; amplification; scaling factor; scale factor [2] competitiveness rating (e.g. for university entrance); applicant-to-acceptance ratio |N/A
馬鹿馬鹿しい |ばかばかしい |absurd; ridiculous; silly; ludicrous; nonsensical; asinine; foolish |N/A
漠然 |ばくぜん |vague; obscure; indistinct; hazy; ambiguous |3919
爆弾 |ばくだん |[1] bomb [2] alcohol with liquor added (esp. wine-based shōchū highball, also beer with whiskey) |N/A
爆破 |ばくは |destructive blast; blowing up; explosion |N/A
化ける |ばける |[1] to take the form of (esp. in ref. to a spirit, fox, raccoon dog, etc.); to assume the shape of; to turn oneself into; to transform oneself into [2] to disguise oneself as [3] to change radically; to metamorphose |N/A
罰 |ばち |(divine) punishment; curse; retribution |N/A
|バッジ |badge |N/A
|バット |bat (in baseball, cricket, etc.) |N/A
|バテる |to be exhausted; to be worn out |N/A
ばら撒く |ばらまく |[1] to scatter; to disseminate (e.g. a rumor); to spread (e.g. germs); to broadcast [2] to distribute widely (e.g. leaflets); to hand out freely; to spend recklessly |N/A
万 |ばん |completely; absolutely; totally |N/A
万人 |ばんにん |all people; everybody |N/A
万能 |ばんのう |[1] all-purpose; utility; universal [2] all-powerful; almighty; omnipotent; all-round (e.g. athlete) [3] Mannou |N/A
番目 |ばんめ |[1] the nth ... [2] divisions of a kabuki performance |N/A
|バー |[1] bar; tavern; barroom; pub [2] bar (establishment, counter, etc. where food and drinks are sold) [3] bar (in the high jump or pole vault); crossbar (in soccer, rugby, etc.); (ballet) barre |4424
|パジャマ |pajamas; pyjamas |N/A
|パチンコ |[1] pachinko; mechanical gambling game superficially resembling pinball [2] slingshot; catapult [3] pistol |3332
|パトカー |patrol car; police car; squad car; cruiser |N/A
Ｇパン |ジーパン |jeans; dungarees |N/A
|パンク |[1] puncture; flat tyre (tire); blowout [2] bursting; overflowing; being jammed (e.g. phone lines); reaching breaking point; collapse; breakdown; going bankrupt |N/A
非 |ひ |[1] fault; error; mistake [2] going poorly; being disadvantageous; being unfavorable [3] un-; non-; an- |N/A
費 |ひ |cost; expense |N/A
延いては |ひいては |by extension; in turn; by the same token; in addition; as well; consequently |N/A
控え室 |ひかえしつ |waiting room; anteroom; antechamber; green room |N/A
控える |ひかえる |[1] to be temperate in; to refrain; to abstain; to hold back; to restrain oneself from excessive ... [2] to make notes; to jot down (e.g. phone number) [3] to be in preparation for; to be in waiting for |2599
悲観 |ひかん |pessimism; (taking a) gloomy view; discouragement; despondency; despair; disappointment |N/A
匹 |ひき |[1] counter for small animals [2] counter for rolls of cloth (two han in size) [3] counter for horses |N/A
引き上げる |ひきあげる |[1] to pull up; to drag up; to lift up [2] to increase; to raise (e.g. taxes) [3] to withdraw; to leave; to pull out; to retire |2653
率いる |ひきいる |to lead; to spearhead (a group); to command (troops) |4248
引き起こす |ひきおこす |[1] to cause; to induce; to bring about; to provoke [2] to pull upright; to help up (e.g. a fallen person) |3238
引き下げる |ひきさげる |to pull down; to lower; to reduce; to withdraw |N/A
引きずる |ひきずる |[1] to drag; to trail; to pull along the ground; to lug [2] to force (someone) along; to drag (along) [3] to prolong; to drag out |4022
引き取る |ひきとる |[1] to take into one's possession; to receive; to accept; to collect; to claim [2] to take into one's care (e.g. person, pet); to take custody of; to adopt [3] to leave; to go away; to withdraw; to get out |3371
否決 |ひけつ |rejection; negation; voting down |N/A
非行 |ひこう |delinquency; misconduct |N/A
日頃 |ひごろ |[1] usually; habitually; always [2] for a long time |2900
悲惨 |ひさん |disastrous; tragic; miserable; wretched; pitiful; woeful; outrageous |4608
秘書 |ひしょ |[1] (private) secretary [2] treasured book; secret book |N/A
比重 |ひじゅう |[1] specific gravity; relative density [2] relative importance; weight |N/A
密か |ひそか |secret; private; surreptitious |3785
浸す |ひたす |[1] to soak; to dip; to steep; to immerse [2] to moisten; to wet |N/A
只管 |ひたすら |intently; single-mindedly; devotedly; solely; earnestly; with all one's heart |2394
引っかく |ひっかく |to scratch; to claw |N/A
引っ掛ける |ひっかける |[1] to hang (something) on (something); to throw on (clothes) [2] to hook; to catch; to trap; to ensnare [3] to cheat; to evade payment; to jump a bill |N/A
必修 |ひっしゅう |required (subject) |N/A
匹敵 |ひってき |to be a match for; to rival; to equal; to compare with; to be equivalent to |N/A
未 |ひつじ |[1] the Sheep (eighth sign of the Chinese zodiac); the Ram; the Goat [2] hour of the Sheep (around 2pm, 1-3pm, or 2-4pm) [3] south-southwest |N/A
必然 |ひつぜん |[1] inevitable; necessary; certain; sure [2] inevitability; necessity |N/A
一息 |ひといき |[1] one breath [2] time of one breath [3] pause; break; rest; breather |N/A
一重 |ひとえ |[1] one layer; single layer [2] monopetalous [3] unlined kimono |N/A
人柄 |ひとがら |personality; character; personal appearance; gentility |4913
一頃 |ひところ |once; some time ago |N/A
一筋 |ひとすじ |[1] one line; one stretch (e.g. of road); one strand (e.g. of hair); one beam (e.g. of light); one ray; one length (e.g. of rope) [2] earnest; resolute; intent; devoted; single-minded [3] one bloodline; one clan |N/A
一目 |ひとめ |[1] glance; look; glimpse [2] complete view; bird's-eye view |4777
日取り |ひどり |fixed date; appointed day |N/A
日向 |ひなた |sunny place; in the sun |N/A
非難 |ひなん |criticism; blame; censure; attack; reproach |3709
避難 |ひなん |taking refuge; finding shelter; evacuation; escape; seeking safe haven |4763
火花 |ひばな |spark |N/A
日々 |ひび |[1] daily; everyday [2] days (e.g. of one's youth) [3] every day; day after day; day by day; from day to day |1250
悲鳴 |ひめい |shriek; scream |4267
冷やかす |ひやかす |[1] to banter; to make fun of; to jeer at [2] to cool; to refrigerate [3] to window-shop; to look at without buying |N/A
日焼け |ひやけ |[1] sunburn; suntan; tan [2] becoming discolored from the sun (e.g. of paper); yellowing [3] drying up (of a river, field, etc.) |N/A
標語 |ひょうご |motto; slogan; catchword |N/A
|ひょっと |[1] possibly; perhaps; perchance [2] unintentionally; accidentally |N/A
雛 |ひよこ |[1] young bird; chick; fledgling [2] greenhorn; fledgeling; novice; rookie |N/A
平たい |ひらたい |[1] flat; even; level [2] plain (language, words, etc.); simple |N/A
比率 |ひりつ |ratio; proportion; percentage |2867
肥料 |ひりょう |manure; fertilizer; fertiliser; compost |N/A
昼飯 |ひるめし |lunch; midday meal |N/A
疲労 |ひろう |[1] fatigue; weariness; exhaustion; tiredness [2] fatigue (of metal, etc.) |N/A
広まる |ひろまる |to spread; to be propagated |4088
貧困 |ひんこん |[1] poverty; penury; need; destitution [2] shortage; lack; want |N/A
品質 |ひんしつ |quality (of a product or a service) |N/A
品種 |ひんしゅ |[1] type (of goods); sort [2] (taxonomical) form [3] breed; variety; kind; type; cultivar |N/A
貧弱 |ひんじゃく |poor; meagre; meager; feeble; scanty; shabby; insubstantial |N/A
|ヒント |hint; clue |4097
頻繁 |ひんぱん |frequent; incessant |2935
美 |び |beauty |N/A
|ビジネス |business |3312
美術 |びじゅつ |art; fine arts |N/A
|びっしょり |wet through; drenched |N/A
描写 |びょうしゃ |depiction; description; portrayal |N/A
|ビリ |last (on the list); (at the) bottom; (in) last position; tailender |N/A
微量 |びりょう |minuscule amount; extremely small quantity |N/A
敏感 |びんかん |sensitive; alert; aware; susceptible |3929
貧乏 |びんぼう |poverty-stricken; destitute; poor; penurious |N/A
歩 |ふ |pawn |N/A
|ファイト |[1] fight [2] fighting spirit [3] fight!; do your best; go for it; keep at it |N/A
|ファイル |[1] file (for holding papers) [2] file (collection of documents); filing; keeping on file [3] file |2187
|ファン |[1] fan; enthusiast; lover (of) [2] (electric) fan |1596
|フィルター |filter |N/A
不意 |ふい |sudden; abrupt; unexpected; unforeseen |4279
封 |ふう |seal |N/A
封鎖 |ふうさ |[1] blockade; lockdown; sealing off (an area) [2] freezing (funds) |N/A
風車 |ふうしゃ |[1] windmill; wind turbine [2] pinwheel (toy); windmill (toy) [3] Clematis patens (species of climbing plant) |N/A
風習 |ふうしゅう |custom |N/A
風俗 |ふうぞく |[1] manners; customs [2] public morals [3] sex service; sex industry; sex-oriented entertainment |N/A
風土 |ふうど |natural features; topography; climate; spiritual features |N/A
|フェリー |ferry |4590
|フォーム |form |N/A
不可欠 |ふかけつ |indispensable; essential |3589
深める |ふかめる |to deepen; to heighten; to intensify |3029
不吉 |ふきつ |ominous; sinister; unlucky; inauspicious |N/A
不況 |ふきょう |(economic) depression; recession; slump |3671
布巾 |ふきん |dish towel; tea towel; dishcloth |N/A
福 |ふく |good fortune; happiness; blessing; good luck |N/A
複合 |ふくごう |composite; combined; complex |N/A
福祉 |ふくし |welfare; well-being; social welfare; social security; social service |3728
覆面 |ふくめん |[1] mask; veil; disguise [2] anonymous; unmarked; incognito |N/A
膨れる |ふくれる |[1] to swell (out); to expand; to be inflated; to distend; to bulge [2] to get cross; to get sulky; to pout |N/A
老ける |ふける |to age; to grow old (esp. in appearance); to show marks of age |N/A
布告 |ふこく |edict; ordinance; proclamation |N/A
富豪 |ふごう |wealthy person; millionaire |N/A
負債 |ふさい |debt; liabilities |N/A
相応しい |ふさわしい |appropriate; adequate; suitable; fitting; worthy |2719
不在 |ふざい |[1] absence [2] disregard; indifference |N/A
負傷 |ふしょう |injury; wound |N/A
不振 |ふしん |dullness; slump; stagnation; inactivity; depression |N/A
不審 |ふしん |doubt; suspicion; question; strangeness |N/A
不順 |ふじゅん |irregular; unseasonable; changeable; unsettled; abnormal |N/A
負担 |ふたん |[1] burden; load; responsibility [2] bearing (a cost, responsibility, etc.); shouldering |1276
不調 |ふちょう |[1] bad condition; poor condition; disorder; slump; being out of form [2] failure; rupture; breakdown (e.g. of negotiations) |N/A
復活 |ふっかつ |[1] revival (of an old system, custom, fashion, etc.); restoration; return; comeback [2] resurrection; rebirth |2754
復旧 |ふっきゅう |restoration; restitution; rehabilitation |N/A
復興 |ふっこう |revival; reconstruction; restoration; rebuilding; recovery; renaissance |N/A
沸騰 |ふっとう |[1] boiling; seething [2] becoming heated (e.g. of a debate); excitement; agitation; fermentation [3] soaring (of prices); shooting up |4819
仏 |ふつ |[1] France [2] Futsu |N/A
不当 |ふとう |[1] unfair; unjust; wrongful; improper; unreasonable; unwarranted; unjustified; undeserved; undue [2] Futou |N/A
不動産 |ふどうさん |real estate |4087
赴任 |ふにん |moving to a different location to start a new job; (proceeding to) new appointment |N/A
不評 |ふひょう |bad reputation; poor reception; unpopularity; disrepute |N/A
不憫 |ふびん |poor; pitiful; piteous; pitiable |N/A
不服 |ふふく |dissatisfaction; discontent; disapproval; objection; complaint; protest; disagreement |N/A
普遍 |ふへん |universal; general; ubiquitous; omnipresent |N/A
踏まえる |ふまえる |[1] to be based on; to take into account; to build upon; to have origin in [2] to have one's feet firmly planted on; to plant oneself on |1979
文 |ふみ |[1] letter; note; mail [2] book; writings [3] literary arts; learning; scholarship |N/A
不明 |ふめい |[1] unclear; obscure; indistinct; uncertain; ambiguous [2] unknown; unidentified [3] ignorance; lack of wisdom; lack of insight |3716
扶養 |ふよう |support (e.g. of one's dependents); maintenance |N/A
振り |ふり |[1] swing; shake; sweep; wave; wag [2] appearance; behaviour; behavior [3] pretence; pretense; (false) show; pretending |3010
振り出し |ふりだし |[1] shaking (something) out [2] starting point; beginning; outset [3] drawing (e.g. of a bill); issue; draft |N/A
不良 |ふりょう |[1] bad; poor; inferior; defective [2] delinquent; hoodlum; hooligan |N/A
浮力 |ふりょく |buoyancy; floating power |N/A
震わせる |ふるわせる |to (make something) quiver; to shake; to tremble; to vibrate |N/A
付録 |ふろく |appendix; supplement; annex; extra (of a newspaper or magazine) |N/A
|フロント |[1] front (aspect, weather, war-front, etc.) [2] reception (e.g. in a hotel); front desk [3] front office; team management |N/A
分 |ふん |[1] minute (unit of time) [2] fun (one tenth of a monme, 5.787 grains) |N/A
憤慨 |ふんがい |indignation; resentment |N/A
紛失 |ふんしつ |loss; going missing |N/A
紛争 |ふんそう |dispute; conflict; trouble; unrest; strife |4893
|ふんだん |plentiful; abundant; ample; lavish |N/A
奮闘 |ふんとう |[1] strenuous effort; hard struggle; working hard [2] hard fighting; fierce fighting |N/A
粉末 |ふんまつ |fine powder |N/A
部 |ぶ |[1] department (in an organization, company, etc.); division; bureau; faculty [2] club (at a school, university, etc.); team [3] part; portion; region; area |3853
部下 |ぶか |subordinate person |3047
|ぶかぶか |[1] too large (clothing); baggy; loose-fitting [2] bulging; warping [3] parp; toot; blast |N/A
|ブザー |buzzer; personal alarm (loud buzzer to attract attention in case of attack) |N/A
侮辱 |ぶじょく |insult; affront; slight; contempt (e.g. of court) |N/A
武装 |ぶそう |arms; armament; taking up arms; arming oneself |N/A
斑 |ぶち |spots; speckles; mottles |N/A
物体 |ぶったい |object; body; solid |N/A
物議 |ぶつぎ |public discussion; public criticism; controversy |N/A
仏像 |ぶつぞう |[1] statue of Buddha; image of Buddha; Buddhist statue; Buddhist image [2] Butsuzou |N/A
無難 |ぶなん |[1] safe (e.g. choice); secure; innocuous; inoffensive [2] acceptable; passable; satisfactory; adequate; faultless; without flaw |N/A
部門 |ぶもん |division (of a larger group); branch; field; class (subclass); group; category; department |N/A
|ぶらぶら |[1] dangling; swaying; swinging [2] (walking) leisurely; aimlessly; strolling; wandering; rambling [3] idly; lazily; leisurely; aimlessly |N/A
武力 |ぶりょく |armed might; military power; the sword; force |N/A
|ブルー |[1] blue [2] sad; down (in the dumps) |4337
無礼 |ぶれい |rudeness; impoliteness; discourtesy; insolence |N/A
文化財 |ぶんかざい |cultural assets; cultural property |N/A
分業 |ぶんぎょう |division of labor; division of labour; specialization; specialisation; assembly-line production |N/A
文語 |ぶんご |[1] written language; literary language [2] classical (or formal) written style based on Heian-period Japanese |N/A
分散 |ぶんさん |[1] dispersion; breakup; scattering; decentralization; decentralisation; distribution [2] variance [3] dispersion |N/A
分子 |ぶんし |[1] molecule [2] numerator [3] element (of a group); member |N/A
文書 |ぶんしょ |[1] document; writing; letter; papers; notes; records; archives [2] document addressed to someone |3259
分担 |ぶんたん |taking on one's share (e.g. of work); dividing (work, expenses, etc.) between; apportionment; allotment; allocation; assignment |N/A
分配 |ぶんぱい |division; splitting; sharing; distribution; dissemination; allocation |N/A
分母 |ぶんぼ |denominator |N/A
分離 |ぶんり |separation; partition; detachment; segregation; isolation |4620
分裂 |ぶんれつ |split; division; break up |N/A
|ブーツ |boots |N/A
|ブーム |[1] boom; craze; fad [2] (economic) boom [3] boom (of a boat) |4103
兵器 |へいき |arms; weapon; ordnance |N/A
閉口 |へいこう |[1] to be stumped; to be at a loss; to be at one's wits' end; to be nonplussed [2] to be fed up; to be tired (of); to be unable to bear; to be annoyed |N/A
閉鎖 |へいさ |[1] closing; closure [2] shutdown; lockout |N/A
兵士 |へいし |soldier |4444
平常 |へいじょう |normal; usual; ordinary; everyday |N/A
平方 |へいほう |square (e.g. metre) |N/A
並列 |へいれつ |[1] arranging in a line; standing in a row [2] parallel (electronics, computing, etc.) |N/A
辟易 |へきえき |[1] to be fed up (with); to be tired (of); to be bored (with); to be unable to bear [2] to be stumped; to be nonplussed; to be disconcerted [3] to wince; to shrink back; to cringe |N/A
隔たる |へだたる |to be distant |N/A
経る |へる |[1] to pass; to elapse; to go by [2] to pass through; to go through [3] to experience; to go through; to undergo |1578
偏 |へん |left-hand radical of a character |N/A
編 |へん |[1] compilation (of a text); editing [2] volume (of a text) [3] completed literary work |N/A
返還 |へんかん |return; restoration |N/A
偏見 |へんけん |prejudice; bias; distorted view |4889
返済 |へんさい |repayment; reimbursement; refund; redemption |4973
変遷 |へんせん |change; transition; vicissitudes |N/A
返答 |へんとう |reply; answer |N/A
変動 |へんどう |change; fluctuation |4320
|ベスト |best |3616
|ベストセラー |bestseller |N/A
弁解 |べんかい |explanation (e.g. for one's actions); excuse; justification; defense; defence |N/A
便宜 |べんぎ |convenience; accommodation; advantage; benefit; expediency |N/A
弁論 |べんろん |discussion; debate; argument |N/A
|ベース |[1] base; basis; theme; basic ingredient [2] base (e.g. military); depot [3] base; base bag |2266
|ペア |[1] pair; set of two [2] pair-oared boat [3] pair; two of a kind |N/A
|ペコペコ |[1] very hungry; starving; famished [2] bowing repeatedly; kowtowing; bowing and scraping; being obsequious; being servile [3] denting; buckling; giving (in) |N/A
穂 |ほ |[1] ear (of a cereal plant); head; spike [2] point (of a brush, spear, etc.); tip; (pointed) head [3] crest (of a wave) |N/A
保育 |ほいく |nurturing; rearing; childcare; day care |N/A
法案 |ほうあん |bill (law); measure |4160
崩壊 |ほうかい |[1] collapse; crumbling; breaking down; caving in [2] (radioactive) decay; disintegration |3087
法学 |ほうがく |law; jurisprudence |N/A
宝器 |ほうき |[1] treasured article or vessel; outstanding individual [2] Houki |N/A
放棄 |ほうき |abandonment; renouncement; renunciation; resignation; abdication; surrender; relinquishing; waiving; giving up |4757
封建 |ほうけん |feudalistic |N/A
方策 |ほうさく |plan; policy |N/A
豊作 |ほうさく |abundant harvest; bumper crop |N/A
奉仕 |ほうし |[1] service; ministry; attendance; church work [2] offering goods at a reduced price; providing a service for free |N/A
方式 |ほうしき |form; method; system; formula |3932
放射能 |ほうしゃのう |radioactivity |N/A
報酬 |ほうしゅう |remuneration; recompense; reward; toll |N/A
放出 |ほうしゅつ |release; emission; ejection |4980
報じる |ほうじる |[1] to report; to inform [2] to repay; to return; to requite |N/A
報ずる |ほうずる |[1] to report; to inform [2] to repay; to return; to requite |N/A
放置 |ほうち |leaving as is; leaving alone; leaving to chance; neglecting; abandoning |3347
法廷 |ほうてい |court (of law); courtroom |N/A
報道 |ほうどう |report (of news); reporting; news; information; (media) coverage |1894
褒美 |ほうび |reward; prize |N/A
葬る |ほうむる |[1] to bury; to inter; to entomb [2] to cover up; to hush up; to shelve |N/A
放り込む |ほうりこむ |to throw into; to toss into |N/A
放り出す |ほうりだす |[1] to throw out [2] to drop; to toss; to dump [3] to abandon; to neglect; to leave behind; to give up |N/A
飽和 |ほうわ |saturation; satiation |N/A
保温 |ほおん |retaining warmth; keeping heat in; heat insulation |N/A
捕獲 |ほかく |capture; seizure |N/A
保管 |ほかん |charge; custody; safekeeping; deposit; storage |4495
補給 |ほきゅう |supply; supplying; replenishment |N/A
補強 |ほきょう |reinforcement; strengthening |N/A
保険 |ほけん |[1] insurance [2] guarantee; warranty |1884
捕鯨 |ほげい |whaling; whale hunting; whale fishing |N/A
誇る |ほこる |to boast of; to be proud of; to take pride in |3858
綻びる |ほころびる |[1] to come apart at the seams; to be ripped; to be torn [2] to begin to open; to begin to bloom [3] to smile broadly; to break into a smile |N/A
保護 |ほご |[1] protection; safeguard; guardianship; custody; patronage [2] preservation; conservation |1691
干し |ほし |drying; dried |N/A
干し物 |ほしもの |things dried in the sun (esp. clothes, dyed cloth, etc.) |N/A
保守 |ほしゅ |[1] maintenance [2] conservatism; conservativeness; conservation |N/A
補償 |ほしょう |compensation; reparation |N/A
補充 |ほじゅう |replenishment; supplementation; supplement; replacement; refilling |N/A
補助 |ほじょ |[1] assistance; support; help; aid [2] subsidy; supplement; subvention; grant-in-aid [3] spotting (in weight training) |4288
舗装 |ほそう |paving (a road); surfacing (with asphalt, concrete, etc.); pavement |N/A
補足 |ほそく |supplement; complement |N/A
発作 |ほっさ |fit; attack; spasm; ictus; paroxysm; seizure; stroke |N/A
発足 |ほっそく |starting; inauguration; launch; founding; establishment; start-up |4497
|ホット |[1] hot [2] (hot) coffee |N/A
|ほっと |[1] with a feeling of relief; with a sigh of relief [2] deeply (sigh) |2693
頬っぺた |ほっぺた |cheek |N/A
施す |ほどこす |[1] to give (time, money, goods); to donate [2] to do; to perform; to conduct [3] to apply (processing, makeup, etc.); to add (e.g. ornamentation, annotation) |3559
保母 |ほぼ |(female) childcare worker; nursery school teacher |N/A
保養 |ほよう |health preservation; recuperation; recreation |N/A
捕吏 |ほり |constable; policeman |N/A
捕虜 |ほりょ |prisoner (of war); POW; captive |N/A
滅びる |ほろびる |to go to ruin; to go under; to fall; to be destroyed; to die out; to become extinct; to perish |N/A
滅ぼす |ほろぼす |to destroy; to overthrow; to wreck; to ruin |N/A
本格 |ほんかく |original method; original procedure; genuine way (of doing something) |N/A
本館 |ほんかん |[1] main building (as opposed to an annex, outbuilding, etc.) [2] this library; this museum; this theatre; this hall; this building |N/A
本気 |ほんき |seriousness; earnestness; truth; sanctity |2819
本質 |ほんしつ |essence; true nature; substance; reality |3954
本体 |ほんたい |[1] substance; true form; true character [2] main part; main unit; body (of a machine) [3] object of worship (at a shrine, temple, etc.) |N/A
本音 |ほんね |real intention; motive; true opinion; what one really thinks |3756
本の |ほんの |mere; only; just; slight |1754
本能 |ほんのう |instinct |4978
